,English Sentences,Hindi Sentences,Word Count (English),Word Count (Hindi),Difference between Word Count (English) and Word Count (Hindi)
83,Three persons were arrested by the police. ,जबकि तीन को पुलिस टीम ने गिरफ्तार कर लिया। ,43,43,0
86,who use our product are not necessarily ,जो हमारे उत्पाद का इस्तेमाल जरूरी नहीं हैं ,40,43,-3
90,We have seen good growth. ,हमें अच्छी वृद्धि नजर आ रही है। ,26,32,-6
95,"""They've stopped. ",वे रुक गये है. ,18,15,3
99,"""The accused is cousin brother of the victim. ",आरोपी रिश्ते में पीड़िता का चचेरा भाई है। ,46,42,4
101,But they never got going. ,हालांकि वे कभी गए नहीं। ,26,24,2
106,"UK to accept 20,000 refugees from Syria ","15,000 सीरियाई लोगों को शरण देगा ब्रिटेन ",40,41,-1
109,"""""""There is no case of coronavirus so far."" ",अभी तो यहां कोरोना वायरस का कोई केस नहीं आया है। ,44,49,-5
110,Most of these are of clay. ,इनमें ज्यादातर पाकुड़ के हैं। ,27,30,-3
112,All of them were from Uttar Pradesh. ,यह सभी लोग उत्तरप्रदेश के लोग थे। ,37,34,3
130,No action has been taken in this regard. ,इस पर कार्यकर्ताओं पर कोई कार्रवाई नहीं की गई है। ,41,50,-9
136,A family case is going on in the court currently. ,तलाक का मामला फिलहाल फैमिली कोर्ट में चल रहा है। ,50,49,1
141,This makes the skin soft and supple. ,"इससे स्किन सॉफ्ट, ग्लोइंग बनती है। ",37,35,2
147,Its a religion over there. ,धार्मिक वहीं है। ,27,17,10
154,No one can create an atmosphere. ,कोई व्यक्ति कोई माहौल नहीं बना सकता. ,33,37,-4
155,This will change the scenario. ,यह परिदृश्य बदलने वाला होगा। ,31,29,2
156,"Later, a compromise had been worked out. ",बाद में सुलह समझौता भी हो गया था। ,41,34,7
158,Zero is an even number. ,शून्य एक सम संख्या है। ,24,23,1
182,Message From Abroad ,विदेशों से भी आ रहे खत ,20,23,-3
183,walk this way ,चलते हैं यहां ,14,14,0
185,"""The film is in production stages currently. ",फिल्म फिलहाल निर्माण के अंतिम चरण में है। ,45,42,3
200,So why is this controversial? ,तो फिर इतना विवाद क्यों ,30,24,6
206,"Since then,the accused had been harassing her. ",उसके बाद से आरोपी उससे रंजिश रखने लगे। ,47,39,8
218,Protesters had blocked the road. ,प्रदर्शनकारियों ने सड़क को जाम कर रखा था। ,33,42,-9
220,She lived alone in the house. ,मकान में वह अकेला रहता था। ,30,27,3
232,Many have been killed. ,बहुत से लोग मारे गए” ,23,21,2
245,Important instructions for candidates ,उम्मीदवारों के लिए जरूरी निर्देश ,38,33,5
260,"""They are now in search of a new servant. ",वे अब एक नए नौकर की तलाश में हैं। ,42,34,8
264,Our government works for the poor. ,हमारी सरकार गरीबों के लिए काम कर रही है। ,35,41,-6
266,"However, we parted on good terms. 23. ",फिर भी हम मित्रों की तरह एक-दूसरे से विदा हुए। ,38,47,-9
270,off the road ,सड़क पर बाहरी ,13,14,-1
272,Her death is being linked to Sushants death. ,उनकी मौत को सुशांत की मौत से जोड़ा जा रहा है। ,45,46,-1
297,as a mark of ,के प्रति ,13,9,4
304,Where the case began ,कहां से शुरू हुआ मामला ,21,23,-2
309,This trend is here to stay. ,यह ट्रेंड आगे भी बना रह सकता है। ,28,33,-5
313,"""They are our role models. ",वे हमारे आदर्श हैं। ,27,20,7
315,Three policemen were injured in this incident. ,इस घटना में तीन पुलिस वाले घायल हुए हैं। ,47,41,6
316,India love to hate Pakistan. ,"पाकिस्तान, जितनी घृणा भारत से करता है। ",29,39,-10
321,She beats him. ,"""वह उसे मार दिया. ",15,18,-3
338,"""The film was much enjoyed by the audience. ",फिल्म को दर्शकों ने बहुत पंसद किया था. ,44,39,5
339,brisk trading ,अधिक लेनदेन ,14,12,2
340,Expenditure incurred (Amount in Rs.) ,किया गया खर्च (राशि रुपये में) ,37,31,6
342,"""The answer is BJP. ",बीजेपी ने इसका जवाब दिया है. ,20,29,-9
343,Whos responsible for this? ,सर इसके लिए कौन जिम्मेदार हैं? ,27,31,-4
346,Its objectives are to: - ,इसके उद्देश्य हैः ,25,18,7
348,"""There is law in the country. ",देश में कानून का शासन है। ,30,26,4
350,Mountains are covered with ice. ,पहाड़ बर्फ से लकदक हो गए हैं. ,32,30,2
352,That's my answer to the overpopulation question. ,अधिक जनसंख्या के सवाल का यह मेरा ज़वाब है. ,49,42,7
362,"""Then, heat oil in a pan. ",इसके बाद कड़ाही में घी डालें। ,26,30,-4
365,"""The final decision will be taken by the Court. ",उच्च अदालत का फैसला अंतिम माना जाएगा। ,48,38,10
370,"""Theres nothing bad in it. ",इस में कुछ बुरा भी नहीं है। ,27,28,-1
379,We're pulling clear of them. ,उनमें से cIear खींच रहे हैं. ,29,29,0
380,Aman Sharma awarded ,एके शर्मा ने सम्मानित किया। ,20,28,-8
383,Officers will be pleased with your work. ,अधिकारी आप के काम से प्रसन्न होंगे। ,41,36,5
389,"Mandi Ahmedgarh, October 7 ","महेन्द्रगढ़, 7 अक्तूबर (निस) ",27,29,-2
390,"""Theres no dispute about that. ",इसमें किसी तरह का विवाद नहीं है। ,31,33,-2
394,Avoid an argument with your spouse. ,जीवनसाथी से झगड़ा करने से बचें। ,36,32,4
400,You need to wait for the right time. ,सही समय का इंतजार जरूरी है। ,37,28,9
402,He was arrested on Thursday. ,गुरुवार को इस पर मुहर लगाई गई। ,29,31,-2
403,"So Im really, really happy for them. ",इसलिए मैं उनसे बहुत खुश हूं। ,37,29,8
421,Im super-excited about the release of the film. ,इस फिल्म की रिलीज के लिए बहुत रोमांचित हूं। ,48,44,4
422,He was produced in court. ,उसे कोर्ट में पेश कर दिया गया। ,26,31,-5
424,(The writer is a Political Analyst) ,(लेखक नेपाल के राजनीतिक विश्लेषक हैं) ,36,38,-2
431,"""They identified him. ",इन्हीं से उनकी शिनाख्त हुई। ,22,28,-6
436,I am going with them. ,ैं उनके साथ होती हूं। ,22,22,0
437,But nothing much changed. ,बदलता कुछ भी नहीं। ,26,19,7
438,Inequality is increasing rapidly. ,इससे असमानता तेजी से बढ़ रही है। ,34,33,1
440,What did you think about it? ,इस पर क्या सोचा है? ,29,20,9
452,Do try ,प्रयास करें ,7,12,-5
458,Why Albert Pinto is still angry? ,अल्बर्ट पिंटो को गुस्सा क्यों आता है ,33,37,-4
461,Thieves decamp with Rs 1.5 lakh ,युवक से 1.5 लाख की लूट ,32,23,9
480,"I saw everything, I heard everything. ","मैं सब कुछ देख रहा हूं, सब कुछ समझ रहा हूं। ",38,44,-6
481,You see the complete hopelessness in the eyes . ,खाली आँखों में सिमटकर नमदे की तरह हो जाते हैं। ,48,47,1
483,"When he objected, they started beating him up. ",विरोध किया तो उसकी पिटाई शुरू कर दी। ,47,37,10
492,He is a resident of Delhis Shahdara. ,ये दिल्ली के शाहदरा निवासी हैं। ,37,32,5
494,Devotees take dip in Brahma Sarovar ,श्रद्धालुओं ने ब्रह्मसरोवर में लगाई डुबकी ,36,42,-6
504,OnePlus 6T India launch will begin soon. ,वनप्लस 6 टी को जल्द ही लॉन्च किया जा सकता है। ,41,46,-5
512,He died due to heart attack. ,दिल का दौरा पड़ने से मौत हुई है. ,29,32,-3
513,Where to go on this weekend? ,इस Weekend पर कहां जाऊं? ,29,25,4
528,Reliance Power exits Tiaiya power project ,रिलायंस पावर को मिली तिलैया परियोजना ,42,37,5
531,What officers say ,क्या कहते हैं कंपनी अधिकारी ,18,28,-10
544,None of us had been in a situation like this. ,उनकी किसी से कोई इस तरह की बात ही नहीं हुई थी। ,46,47,-1
546,Special situation of Jammu and Kashmir ,जम्मू कश्मीर की विशेष स्थिति ,39,29,10
549,Pour in a bit of water and bring it to a boil. ,थोड़ा-थोड़ा पानी डालकर उसे गूंथ लें। ,47,37,10
551,Chief Minister Yogi Adityanath ,साथ में मुख्यमंत्री योगी आदित्यनाथ ,31,35,-4
552,British English (en-gb) ,ब्रिटिश अंग्रेज़ी (en- gb) ,24,27,-3
555,We need results. ,हमें रिजल्ट चाहिए। ,17,19,-2
557,Memory Trainers Only ,केवल स्मृति प्रशिक्षकों ,21,24,-3
562,1857 The Uprising ,1857 द अपराइजिंग ,18,17,1
566,"""The specified folder may not be empty. ",उल्लेखित फ़ोल्डर शायद खाली नहीं है. ,40,36,4
571,Recovery of Dues by DC ,डीसी द्वारा बकाये की वसूली ,23,27,-4
574,stool is a solid end product of digested food. ,मल पाचन किए गए भोजन का ठोस अंतिम उत्पाद होता है. ,47,49,-2
582,"""""""It's a challenge for everybody."" ","उन्होंने कहा, ‘यह हर किसी के लिए चुनौती है। ",36,44,-8
583,Time limit for application for sale ,तीन. विक्रय के लिए आवेदन के लिए समय सीमा ,36,41,-5
585,And every story I have is like 50 years later. ,और हर कहानी ई अब यह लीक 4 साल का पत्र है। ,47,42,5
586,Fire destroys crop in 6 villages ,6 गांवों की सैकड़ों एकड़ भूमि में लगी आग ,33,41,-8
591,This film is not fictitious. ,' यह मूवी 100 फीसदी वीएफएक्सह है। ,29,34,-5
595,Batas iconic tennis shoes. ,बाटा का आइकॉनिक टेनिस जूता ,27,27,0
597,"""The courts judgment has to be respected. ",कोर्ट का यह फैसला स्वागतयोग्य है। ,42,34,8
600,"Subsequently, the matter reached high court. ",बाद में मामला उच्च प्रबंधन तक पहुंचा। ,45,38,7
601,"""The most powerful and effective. ",सर्वाधिक शक्तिशाली और प्रभावी। ,34,31,3
602,New laws are necessary. ,नये कानून बनेंगे. ,24,18,6
616,Neogen Chem 26 April 2019 41 215 358 ,Neogen Chem 26 अप्रैल 2019 41 215 358 66. ,37,42,-5
620,"""The culprit has been arrested, ",‘जाल डालकर पकड़ा गया आरोपी’ ,32,28,4
626,"""They have to be evacuated. ",उन्हें हटाना पड़ेगा. ,28,21,7
629,Opportunities @ RBI ,भारतीय रिज़र्व बैंक में करियर ,20,30,-10
634,"Explanation.For the purposes of this clause, ",स्पष्टीकरण.–इस खंड के प्रयोजनों के लिए– ,45,40,5
641,This will lock your computer system. ,इससे आपका कम्प्यूटर सिस्टम लॉक हो जाएगा। ,37,41,-4
645,Focus on Previous Message ,पिछले संदेश पर फ़ोकस करें ,26,26,0
654,Move to the last sheet ,अंतिम शीट में जाएं ,23,19,4
655,Tata Patna High Court ,टाटा पटना उच्च न्यायालय ,22,24,-2
656,Why was it needed? ,इसकी •ारूरत क्यों पड़ी? ,19,24,-5
663,Finch's goal is to continue till 2023 World Cup ,2023 विश्व कप तक खेलना चाहते हैं फिंच ,48,38,10
672,Pravin Dubey (Base price Rs 20 lakhs) ,"प्रवीण दुबे, 20 लाख बेस प्राइस नहीं बिके फिर ",38,45,-7
673,He is under constant observation. ,"""वह लगातार औचक निरीक्षण में जुटे हैं. ",34,38,-4
674,"""The Moon is the Moon! ",चांद कसूरवार है! ,23,17,6
675,"But, she did not respond. ",मगर उन्होंने कोई जवाब नहीं दिया। ,26,33,-7
681,This isnt looking good. ,ये अच्छा नहीं लग रहा है. ,24,25,-1
682,"""The rivalry between the two teams was intense. ",दोनों टीमों के बीच मुकाबला बेहद रोमांचक रहा। ,48,45,3
686,Always show this window ,इस विंडो को हमेशा दिखाएँ (w) ,24,29,-5
687,"""There is no compulsion. ",इसमें कोई मजबूरी नहीं है। ,25,26,-1
689,A cage was placed to catch the leopard. ,बाघ को पकडऩे के लिए पिंजरा लगा दिया गया है। ,40,44,-4
692,This happens all over the world. ,पूरी दुनिया में ऐसा होता है. ,33,29,4
693,This government cannot be trusted. ,उस पर सरकार को भरोसा नहीं। ,35,27,8
699,utmost(a) ,जीतोड़ ,10,7,3
703,It's has happened before ,इससे पहले यह हो चुका है ,25,24,1
708,She is Japanese. ,"""वह जापानी है। ",17,15,2
710,Its only the feel. ,इसका केवल आभास होता है। ,19,24,-5
713,He made 500 runs in the tournament. ,उन्होंने अपने जीवन में 500 पारियां खेलीं. ,36,42,-6
723,Here a look at who said what: ,आइये जानें किसने क्या कहा: ,30,27,3
751,"""They havetested negative in the first test. ",पहली परीक्षण में वे निगेटिव पाए गए हैं। ,45,40,5
754,Xi-Modi meeting ,मोदी-जेसिंड मीटिंग ,16,19,-3
761,Officials of various departments were present. ,जनसुनवाई में विभिन्न विभागीय अधिकारी उपस्थित रहे। ,47,50,-3
770,Central Library ,सेंट्रल लाइब्रेरी ,16,18,-2
775,This is important for the country. ,राष्ट्र के लिए ये महत्वपूर्ण है. ,35,33,2
778,"Now, it's not perfect. ","अब, यह सही नहीं है. ",23,20,3
788,Connectivity features ,कनेक्टेड फीचर्स ,22,16,6
789,We have to be on guard. ,हमें अपनी तैयार रखनी है। ,24,25,-1
790,It's not illegal. ,यह गैरकानूनी भी नहीं है। ,18,25,-7
791,Police Constable (Civil ,पुलिस कांस्टेबल (सिविल ,24,23,1
793,"And taking this Latin thing, this hymn thing. ",'अन्टू द लास्ट' का अर्थ है - इस अंतवाले को भी। ,46,47,-1
801,y 's that are below the first line. ,y 's कि पहली रेखा से नीचे हैं। ,36,31,5
810,He explained why. ,उन्होंने इसकी वजह भी बताई। ,18,27,-9
820,Shalu-Kalu a funny boy girl pair. ,शालू-कालू – एक मजेदार लड़के-लड़की की जोड़ी। ,34,44,-10
822,This is based on a true story. ,यह एक रियल स्टोरी पर बेस्ड है। ,31,31,0
824,I 'm coming with you. ,मैं तुम्हारे साथ आ रहा हूँ. ,22,28,-6
825,It is helmed by Ali Abbas Zafar. ,इसे अली अब्बास जफर डायरेक्ट कर रहे हैँ। ,33,40,-7
829,Channel Owners (+ q) ,चैनल मालिक ,21,11,10
831,"""The accused fled from the spot after the crime. ",हत्या के बाद आरोपी मौके से फरार हो गया. ,49,40,9
833,"""The Burning Train ",द बर्निंग ट्रेन ,19,16,3
834,Select it. ,इसके सिलेक्ट कर लें। ,11,21,-10
837,"""The Indian army too gave a befitting response. ",जिसका भारतीय सेना ने भी मुंहतोड़ जवाब दिया। ,48,44,4
838,"Joint Secretary (Films), Ministry of I&B ","संयुक्‍त सचिव (फिल्म), सूचना एवं प्रसारण मंत्रालय ",41,50,-9
839,"However, the truth came to the fore later. ",पर थोड़ी ही देर बाद सच्चाई सामने आ गई. ,43,39,4
842,Same holds true in cricket. ,क्रिकेट भी ऐसा ही है. ,28,22,6
843,Not to love. ,लव मैरिज नहीं। ,13,15,-2
848,"""Theyre not bodies. ",ये जीवत नहीं होते हैं। ,20,23,-3
855,This really has happened. ,ऐसा सचमुच हुआ है. ,26,18,8
863,Will you punish him? ,आपलोग सजा देंगे न? ,21,19,2
864,"""The great tragedienne Rachel lived in No. 9. ",महान त्रसदीकार रेशेल 8 नंबर में रहती थीं। ,46,42,4
865,Six accused are absconding. ,छह आरोपित हुए थे फरार ,28,22,6
869,This is their life. ,इनसे ही उनका जीवन चलता है. ,20,27,-7
878,What choice did they have? ,उन्होंने अपने लिए क्या चुना है? ,27,32,-5
885,"Since then, the work is being done. ",तभी से इसे लेकर काम चल रहा है। ,36,31,5
891,"""The driver of the bus also died in the accident. ",इस हादसे में बस चालक की भी मौत हो गई है. ,50,41,9
893,He demanded an inquiry into the case. ,उन्होंने इस मामले में जांच की मांग की। ,38,39,-1
903,Chief Minister Uddhav Thackeray ,मुख्यमंत्री उद्धव ठाकरे भी रहेंगे उपस्थित ,32,42,-10
912,saddle horse ,राइडिंग हार्स ,13,14,-1
913,Everyone has to do their own thing. ,सबको अपने अपने हिस्से का काम करना होगा. ,36,40,-4
916,Whats happening in the trial? ,महाभियोग जांचमें क्या हो रहा है? ,30,33,-3
917,Fear spread in the village. ,इससे गांव में दहशत फैल गयी। ,28,28,0
922,Triple talaq should be banned. ,ट्रिपल तलाक बंद होना चाहिए। ,31,28,3
930,"No, its true. ","नहीं न, लेकिन ये सच . ",14,22,-8
934,NRC to be introduced throughout country: Shah ,जल्द ही पूरे देश में लागू होगी एनआरसी : शाह ,46,44,2
936,Come to me. ,तुम मेरे पास आओ। ,12,17,-5
942,He has also worked as a lawyer. ,उन्होंने वकील के रूप में भी काम किया. ,32,38,-6
947,He said ,उन्होंने कहा- ,8,14,-6
948,"""The status is as follows: ",स्थिति जस की तस: ,27,17,10
951,He said that this... ,उन्होंने कहा कि इस . ,21,21,0
963,That's brotherly love. ,ये भाई-बहन का प्यार है। ,23,24,-1
969,Yet no one said anything. ,तब भी कोई नहीं बोला। ,26,21,5
980,"""Thereafter the action was taken. ",इसके बाद यह कार्रवाई हुई है। ,34,29,5
985,But everyone has a right to give. ,लेकिन रूठने का हक सबको है। ,34,27,7
988,Feeling of weakness and tiredness ,कमजोरी और थकान महसूस होना ,34,26,8
989,"After all, why not? ",आखिर हो भी क्यों न। ,20,20,0
996,"In such cases, we need to be cautious. ",ऐसे में जरूरत सावधानी बरतने की है। ,39,35,4
997,Happy Birthday Sachin Tendulkar! ,सचिन को मिल रही जन्मदिन की बधाई ,33,32,1
1000,"US Secretary of State, Mike Pompeo ","माइक पोंपियो , अमेरिकी विदेश मंत्री&nbsp ",35,41,-6
1003,"""The former CM said: ",जिनमें पूर्व मुख्यमंत्री चौ. ,21,29,-8
1006,Exchange with register ,रजिस्टर के साथ विनिमय ,23,22,1
1009,FBI to assist in probe ,जांच में लगी एफबीआई ,23,20,3
1010,Barley is also low in fat. ,काजू में फैट भी कम होता है. ,27,28,-1
1014,Modis election bugle ,मोदी फूं केंगे चुनावी रणभेरी ,21,29,-8
1019,"""They want to divide India. ",वे चाहते हैं कि भारत का बंटवारा हो. ,28,36,-8
1025,because I was not a trade unionist. ,क्योंकि मैं एक ट्रेड यूनियनिस्ट नहीं था। ,36,41,-5
1027,He was against the partition of India. ,"""वह भारत विभाजन के विरुद्ध थे। ",39,31,8
1041,composite culture ,सामासिक संस्कृति ,18,17,1
1042,Dot - character printer ,बिंदु संप्रतीक प्रिंटर ,24,23,1
1047,We believe in partnerships. ,हम पारस्परिकता में विश्वास करते हैं। ,28,37,-9
1053,It sparked worldwide reactions. ,दुनिया भर में उसकी प्रतिक्रिया हुई. ,32,36,-4
1061,"So, this was where we left with. ","तो, हमारे पास है जहाँ . ",33,24,9
1069,"After that, rinse off with water. ",इसके बाद पानी से इसे धो दें। ,34,29,5
1070,She did not understand how this could come about. ,उनको समझ ही नहीं आखिर ऐसा कैसे हो सकता है. ,50,43,7
1077,"""Then add almonds in it. ",फिर इसमें हींग डालें। ,25,22,3
1080,EAC-PM has welcomed these comprehensive measures ,ईएसी-पीएम ने इन व्यापक कदमों का स्वागत किया है ,49,47,2
1083,Director: Inder Kumar ,निर्देशक: आनंद कुमार ,22,21,1
1090,I 'm going to meet him tomorrow. ,मैं कल उससे मिलने जा रहा हूँ। ,33,30,3
1101,"""The hospital lacks surgeon. ",अस्पताल में सर्जन की कमी है। ,29,29,0
1102,For us that is paramount. ,हमारे लिए ये सर्वोपरि है. ,26,26,0
1103,Dont go away! ,इससे दूर मत जाइए! ,14,18,-4
1104,Two youths killed in accidents ,दुर्घटना में दो युवकों की मौत ,31,30,1
1105,Concerns and solutions ,जिज्ञासा और समाधान ,23,19,4
1115,( c) New Zealand: ,( ख) आस्ट्रेलिया: ,18,18,0
1120,"Heavy rains lash Himachal, all rivers in spate ","हिमाचल में भारी बारिश, नदियां उफान पर ",47,38,9
1123,"New Tehri, May 15 ","चरखी दादरी, 15 मई ",18,18,0
1128,Social media will be strictly monitored. ,सोशल मीडिया पर रखी जाएगी पैनी नजर ,41,34,7
1129,Apply this paste over your face and neck. ,इस पेस्ट को चेहरे और गले पर लगा कर छोड़ दें। ,42,45,-3
1131,I have all the records and documents with me. ,मैं अपने साथ सभी दस्तावेज भी ले आऊंगा। ,46,39,7
1140,Khaleel has played 11 ODIs and 14 T20Is. ,खलील ने 11 वनडे और 14 टी20 मैच खेले हैं. ,41,41,0
1143,Don't talk to me. ,मुझसे बात मत करो! ,18,18,0
1150,92 new cases reported in Maharashtra ,महाराष्ट्र में 92 और मामले आए सामने ,37,36,1
1154,All's well that end's well. ,अंत भला तो सब भला. ,28,19,9
1162,He also gave his word on it. ,इसके लिए उन्होंने उपसूचना भी दी। ,29,33,-4
1168,Police said arrests will be made soon. ,पुलिस का दावा है कि शीघ्र ही वह गिरफ्त में होगा। ,39,49,-10
1170,"So, that is how it is oriented actually. ","तो, यह है कि यह वास्तव में कैसे उन्मुख है। ",41,43,-2
1171,PM Modi to visit Varanasi on Dev Deepawali ,देव दीपावली पर वाराणसी जा सकते हैं पीएम मोदी ,43,45,-2
1175,"""The company held an auction on his account. ",कंपनी ने उसके लेखे नीलामी का आयोजन किया। ,45,41,4
1186,Pricing of material ,सामग्री की कीमत निर्धारण ,20,25,-5
1187,He was very much loving me. ,वो मुझे सबसे ज्यादा प्यार करते थे। ,28,35,-7
1189,Rahul Gandhi at the Somnath Temple in Gujarat ,गुजरात के सोमनाथ मंदिर में राहुल गांधी ,46,39,7
1201,"""The youth died on the spot. ",घटना में युवक की मौके पर ही मौत हो गई। ,29,39,-10
1202,run-in ,झगड़ा ,7,6,1
1206,"""The alliance was only hurting it. ",गठबंधन बस इसे नुकसान पहुंचा रहा था। ,35,36,-1
1212,Step 5: The result will appear on your screen. ,चरण 5: अपना एमएड रिजल्ट आपकी स्क्रीन पर आ जाएगा। ,47,49,-2
1220,Suicide blast kills nine in Somalia ,सोमालिया में विस्फोट नौ लोगों की मौत ,36,37,-1
1222,"Winning the first match, was a good start. ",हमें पहला मैच जीतकर जो शुरुआत मिली वो अच्छी है। ,43,48,-5
1226,"Dhiraj Relli, MD & CEO, HDFC Securities ","धीरज रेल्ली, एमडी-सीईओ, एचडीएफसी सिक्योरिटीज ",40,45,-5
1230,"""There have been many reasons for this. ",कई कारण जिम्मेदार रहे इसके लिए। ,40,32,8
1231,Yet nothing was done. ,लेकिन कोई कार्यवाही नहीं हुई। ,22,30,-8
1233,Student Dies at School in Hyderabad ,हैदराबाद में इंटर छात्रा की निर्मम हत्या ,36,41,-5
1236,"Robbers target petrol pump again, decamp with ",कार सवार लुटेरों ने पेट्रोल पम्प लूटा ,46,38,8
1240,"""The police has found no evidence against him. ",पुलिस को उसके पास से कोई दस्तावेज नहीं मिले है। ,47,48,-1
1249,I worked hard. ,मैंने कड़ी मेहनत की। ,15,21,-6
1250,Students queries were taken up by experts. ,स्टूडेंट्स के सवालों के एक्सप‌र्ट्स ने जबाब दिए। ,43,49,-6
1251,RSV does cause epithelium damage. ,RSV से ऐपीथैलियम को नुकसान पहुंचता है। ,34,39,-5
1253,Check out this video- ,यह देखें वीडियो- ,22,17,5
1255,"So, cost is an important factor. ","तो, लागत एक महत्वपूर्ण कारक है। ",33,32,1
1257,You will get full support from your child. ,आपको संतान से पूरा सहयोग मिलेगा। ,43,33,10
1260,Election politics ,चुनावों की राजनीति ,18,19,-1
1264,"""They are very tough. ",वे बहुत ही मजबूर हैं. ,22,22,0
1265,Abhishek's father is a retired IPS officer. ,अभिषेक के पिता वेटेरनरी फील्ड ऑफिसर हैं। ,44,41,3
1274,bird of night ,वायसांतक ,14,9,5
1276,"""The Opposition needs a direction. ",विपक्ष को कोई ना कोई मुददा चाहिए। ,35,34,1
1277,Arbitration Petition No.86 ,पंचाट याचिका याचिका संख्या 8 ,27,29,-2
1289,Ankita Lokhande is quite active on social media. ,अंकिता सोशल मीडिया पर काफी एक्टिव रहती हैं। ,49,44,5
1292,But this time things will be remarkably different ,लेकिन इस साल स्थितियां काफी बदली हुई हैं ,50,41,9
1295,For strong bones and teeth ,हड्डियों और दांतों को बनाए मजबूत ,27,33,-6
1297,Competition wise there are a lot of changes. ,प्रतियोगिता के हिसाब से काफी बदलाव हैं। ,45,40,5
1298,A special assembly was also organised. ,स्पेशल टीम का भी गठन किया गया है। ,39,34,5
1301,Mr Sharma is a member of Overseas Friends of BJP. ,शर्मा ओवरसीज फे्रंड्स ऑफ बीजेपी के सदस्य हैं। ,50,46,4
1304,Step 7: Download and take a print out. ,डाउनलोड करें और प्र‍िंंटआउट लें. ,39,33,6
1307,But no real help ultimately came forth. ,लेकिन हकीकत में इससे कुछ खास मदद नहीं मिल पाई थी। ,40,50,-10
1309,'Allegations due to misunderstanding' ,'गलतफहमी के कारण हुआ झगड़ा' ,38,28,10
1313,This is my inspiration. ,यही मेरी प्रेरणा है। ,24,21,3
1314,All is fair in love ,प्यार से हर बात को ,20,19,1
1316,Follow the right track ,सही रुटीन फॉलो करें ,23,20,3
1322,"""The car caught fire after the collision. ",टक्कर लगते ही कार में आग लग गई। ,42,32,10
1324,by friends ,दोस्तों के कारण ,11,16,-5
1325,Thousands of devotees throng shrine ,हजारों श्रद्धालुओं ने किया पिंडदान ,36,35,1
1327,This will be difficult though. ,हालांकि यह मुश्किल हैं। ,31,24,7
1329,"""The bodies were sent for postmortem. ",शवों को पोस्टमार्टम के लिए भेजा गया है। ,38,40,-2
1330,We will not leave even an inch of land. ,हम एक इंच टुकड़ा भी नहीं छोड़ेंगे। ,40,35,5
1335,"""the """"Principal Court of Civil Jurisdiction"""""" ","""""""सिविल न्यायालय के प्रधान न्यायालय"""""" ",48,40,8
1338,People rushed out of their houses in fear. ,डर की वजह से लोग अपने घरों से बाहर निकल आए। ,43,44,-1
1339,"""The process needs to be speeded up. ",इस क्रियान्वयन की गति तेज की जानी चाहिए। ,37,41,-4
1353,We are small people. ,"कहते हैं, ‘हम छोटे लोग हैं. ",21,28,-7
1355,It will be taken out. ,"""वह आउट हो किया जाएगा। ",22,23,-1
1360,No effort was made to clean it. ,इसकी सफाई के लिए कोई क़दम नहीं उठाया गया. ,32,42,-10
1367,Alcohol was found inside the car. ,गाड़ी के अंदर शराब रखी हुई थी। ,34,31,3
1375,It's a sad moment for all of us. ,हम सब के लिए ये दुखदायी क्षण है। ,33,33,0
1378,"""The court rejected the appeal. ",जिस पर कोर्ट ने अर्जी वापस कर दी। ,32,34,-2
